Nr utworu;Rodzaj utworu;Czas utworu
346;Pop;108
347;Alternative;549
348;Comedy;549
349;Metal;340
350;Dance;210
351;Reggae;391
352;Classical;547
353;Alternative;111
354;Vocal;207
355;Anime;446
356;Anime;132
357;R&B/Soul;254
358;Comedy;447
359;Pop;227
360;Folk;487
361;Instrumental;215
362;Instrumental;459
363;Instrumental;574
364;Classical;118
365;Alternative;358
366;Country;80
367;Vocal;421
368;World;277
369;Instrumental;166
370;Jazz;557
371;Metal;194
372;Electronic;199
373;Electronic;513
374;Vocal;356
375;Industrial;536
376;Pop;292
377;Rock;342
378;World;108
379;Latin;448
380;Instrumental;252
381;Reggae;496
382;R&B/Soul;446
383;Metal;545
384;R&B/Soul;106
385;Rock;116
386;Blues;219
387;Electronic;460
388;Alternative;383
389;Comedy;349
390;Latin;349
391;Classical;408
392;Industrial;359
393;Rock;72
394;Dance;425
395;Instrumental;311
396;Electronic;346
397;Pop;376
398;R&B/Soul;457
399;Metal;111
400;Instrumental;600
401;World;519
402;Pop;370
403;Industrial;124
404;Jazz;210
405;Blues;534
406;Pop;459
407;Classical;370
408;Rock;535
409;Reggae;266
410;Jazz;464
411;World;592
412;Instrumental;154
413;Comedy;319
414;Rock;566
415;Industrial;80
416;Anime;139
417;Folk;208
418;Reggae;337
419;Anime;185
420;Reggae;318
421;Alternative;339
422;Folk;443
423;Comedy;188
424;Vocal;161
425;Rock;286
426;Instrumental;571
427;Anime;82
428;Country;253
429;Pop;235
430;Electronic;321
431;Latin;438
432;Blues;76
433;Folk;364
434;Industrial;185
435;Blues;263
436;Country;588
437;Blues;212
438;Blues;407
439;Latin;600
440;Instrumental;170
441;Dance;211
442;Dance;167
443;R&B/Soul;66
444;Folk;195
445;Folk;123
446;Country;271
447;Anime;215
448;World;563
449;Industrial;75
450;Latin;325
451;Alternative;228
452;Blues;591
453;Metal;112
454;Folk;286
455;Metal;596
456;Instrumental;533
457;Electronic;590
458;Instrumental;78
459;Instrumental;132
460;R&B/Soul;131
461;Folk;266
462;Comedy;494
463;Jazz;246
464;Reggae;553
465;Rock;229
466;Rock;569
467;Rock;260
468;Classical;530
469;Alternative;71
470;R&B/Soul;107
471;Classical;89
472;Electronic;76
473;Pop;138
474;Reggae;90
475;R&B/Soul;500
476;Metal;107
477;Industrial;85
478;Blues;597
479;Industrial;316
480;Blues;377
481;Latin;560
482;Dance;588
483;Country;436
484;Anime;315
485;Folk;61
486;R&B/Soul;458
487;Comedy;156
488;Vocal;470
489;Anime;445
490;Classical;385
491;Pop;518
492;Folk;337
493;Comedy;546
494;Rock;164
495;Anime;414
496;World;103
497;Jazz;514
498;Industrial;497
499;Instrumental;427
500;Blues;490
501;Electronic;491
502;R&B/Soul;112
503;Classical;493
504;Blues;402
505;World;148
506;World;421
507;Pop;346
508;Alternative;284
509;Metal;515
510;Latin;590
511;Industrial;279
512;Dance;542
513;Reggae;297
514;Rock;521
515;Instrumental;74
516;Anime;418
517;Jazz;74
518;Comedy;138
519;Instrumental;89
520;Alternative;173
521;R&B/Soul;303
522;R&B/Soul;230
523;Instrumental;254
524;R&B/Soul;155
525;Rock;501
526;Alternative;159
527;Jazz;89
528;Metal;195
529;Jazz;148
530;Metal;348
531;Rock;230
532;Vocal;141
533;Folk;591
534;Classical;228
535;Latin;303
536;Dance;68
537;Industrial;484
538;Folk;206
539;Metal;452
540;Dance;174
541;Anime;234
542;R&B/Soul;324
543;Industrial;168
544;Blues;337
545;Instrumental;466
546;World;392
547;Latin;384
548;Instrumental;387
549;Country;342
550;Jazz;219
551;Dance;191
552;Blues;260
553;Alternative;391
554;Vocal;146
555;Anime;306
556;Vocal;155
557;World;589
558;Rock;154
559;Vocal;511
560;World;331
561;Metal;473
562;Rock;505
563;Latin;324
564;Dance;378
565;Pop;185
566;Pop;584
567;Metal;90
568;Anime;254
569;Anime;123
570;Instrumental;202
571;Latin;266
572;Reggae;234
573;R&B/Soul;382
574;Metal;69
575;Comedy;453
576;Alternative;570
577;World;93
578;Electronic;220
579;Dance;74
580;Instrumental;324
581;Pop;374
582;Anime;285
583;Anime;368
584;R&B/Soul;110
585;Electronic;421
586;Latin;445
587;Industrial;550
588;Blues;533
589;R&B/Soul;417
590;Country;497
591;Latin;188
592;Rock;89
593;Alternative;474
594;Country;357
595;Reggae;420
596;Blues;250
597;Jazz;110
598;Reggae;564
599;Comedy;99
600;Pop;294
601;Alternative;412
602;Folk;452
603;Alternative;595
604;Latin;278
605;Industrial;376
606;Blues;158
607;Reggae;575
608;Reggae;265
609;Classical;204
610;Instrumental;412
611;Jazz;473
612;Classical;373
613;R&B/Soul;66
614;Instrumental;73
615;R&B/Soul;489
616;Latin;600
617;Rock;553
618;Industrial;484
619;Vocal;92
620;Electronic;218
621;Industrial;230
622;Electronic;428
623;Pop;271
624;Anime;284
625;Vocal;519
626;Instrumental;205
627;Anime;330
628;Alternative;456
629;Industrial;173
630;Comedy;439
631;World;420
632;Vocal;344
633;Industrial;105
634;World;252
635;Dance;285
636;Instrumental;113
637;Reggae;514
638;Alternative;522
639;Jazz;157
640;Rock;134
641;Metal;338
642;Alternative;535
643;Rock;341
644;World;95
645;Folk;353
646;Latin;594
647;World;199
648;Comedy;433
649;Industrial;301
650;Vocal;172
651;Alternative;261
652;Jazz;160
653;Comedy;575
654;Alternative;340
655;Blues;598
656;Instrumental;105
657;Latin;246
658;Anime;79
659;Country;494
660;Blues;259
661;Metal;122
662;Instrumental;175
663;Jazz;314
664;Folk;579
665;World;86
666;Latin;268
667;Rock;555
668;Reggae;534
669;Country;169
670;Anime;565
671;Rock;525
672;Comedy;370
673;Alternative;88
674;Electronic;286
675;Anime;371
676;Latin;211
677;Metal;454
678;Industrial;516
679;R&B/Soul;585
680;Folk;100
681;Industrial;186
682;Latin;71
683;Pop;190
684;Latin;569
685;Metal;392
686;Electronic;420
687;R&B/Soul;408
688;Metal;142
689;Vocal;484
690;Industrial;466
691;Dance;228
692;Classical;80
693;Anime;514
694;Anime;69
695;Alternative;105
696;Reggae;198
697;Anime;243
698;Instrumental;254
699;R&B/Soul;188
700;Vocal;432
701;Folk;271
702;World;372
703;Dance;552
704;Vocal;322
705;Folk;431
706;Industrial;224
707;Reggae;597
708;Folk;587
709;Classical;570
710;Pop;83
711;R&B/Soul;302
712;Vocal;249
713;World;237
714;Industrial;476
715;Country;381
716;Comedy;408
717;Blues;150
718;Industrial;199
719;Jazz;308
720;Alternative;95
721;Comedy;463
722;Classical;225
723;Instrumental;166
724;R&B/Soul;346
725;Rock;338
726;Vocal;327
727;Industrial;312
728;Electronic;462
729;Anime;600
730;Electronic;265
731;Reggae;499
732;R&B/Soul;211
733;Classical;410
734;Reggae;135
735;Rock;481
736;Rock;69
737;Classical;424
738;Folk;196
739;Pop;262
740;R&B/Soul;409
741;Metal;487
742;Classical;505
743;Reggae;297
744;Anime;178
745;R&B/Soul;322
746;Rock;416
747;Folk;66
748;Electronic;433
749;Alternative;215
750;Blues;287
751;Vocal;483
752;Instrumental;195
753;Anime;562
754;Vocal;80
755;Rock;361
756;Reggae;247
757;Electronic;148
758;Alternative;372
759;World;280
760;Dance;303
761;Latin;85
762;Pop;522
763;Vocal;107
764;World;236
765;Latin;540
766;Country;561
767;Dance;318
768;Instrumental;87
769;Rock;275
770;Classical;463
771;Anime;238
772;Comedy;61
773;Pop;292
774;Anime;536
775;Rock;588
776;Country;68
777;Jazz;538
778;Dance;592
779;Latin;157
780;Instrumental;527
781;Latin;575
782;World;141
783;Folk;560
784;Alternative;309
785;Anime;350
786;Jazz;90
787;Folk;73
788;Country;203
789;Vocal;464
790;Alternative;93
791;Reggae;315
792;Rock;468
793;Anime;67
794;Metal;424
795;Rock;76
796;Reggae;65
797;Latin;61
798;R&B/Soul;276
799;Blues;566
800;Folk;573
801;Classical;87
802;R&B/Soul;375
803;Classical;86
804;Vocal;382
805;World;302
806;Rock;246
807;Metal;74
808;Comedy;418
809;Rock;490
810;Rock;209
811;Dance;182
812;Pop;459
813;Anime;514
814;Metal;191
815;Electronic;440
816;Rock;517
817;Vocal;252
818;Dance;576
819;Dance;61
820;Alternative;148
821;Rock;363
822;Industrial;467
823;Country;256
824;R&B/Soul;221
825;Anime;170
826;Dance;61
827;Latin;473
828;Blues;565
829;Rock;444
830;Industrial;278
831;Latin;544
832;Country;321
833;Instrumental;432
834;Reggae;343
835;Metal;391
836;Instrumental;308
837;Vocal;450
838;Classical;212
839;Anime;229
840;Classical;387
841;Folk;296
842;Pop;507
843;Alternative;279
844;Country;383
845;Country;299
846;Electronic;495
847;Country;142
848;Anime;133
849;Alternative;220
850;Folk;192
851;Alternative;290
852;Metal;582
853;Comedy;217
854;Latin;387
855;Anime;284
856;Electronic;93
857;Instrumental;483
858;World;206
859;Metal;528
860;Industrial;267
861;Metal;583
862;World;205
863;Dance;81
864;Folk;435
865;Rock;561
866;Anime;408
867;Pop;177
868;Alternative;595
869;Instrumental;439
870;Industrial;141
871;Latin;359
872;Industrial;561
873;Industrial;86
874;Dance;508
875;World;542
876;Rock;202
877;Blues;570
878;Rock;533
879;Country;394
880;R&B/Soul;350
881;Rock;489
882;Anime;537
883;World;571
884;Jazz;482
885;Comedy;532
886;Instrumental;546
887;Dance;470
888;Pop;336
889;Classical;579
890;Anime;372
891;Blues;533
892;Industrial;526
893;Reggae;165
894;Instrumental;187
895;Reggae;153
896;Reggae;270
897;Jazz;114
898;World;465
899;Alternative;453
900;Alternative;541
901;Reggae;222
902;Comedy;76
903;Metal;274
904;Blues;591
905;Classical;350
906;R&B/Soul;302
907;Folk;446
908;Dance;135
909;Jazz;114
910;Industrial;366
911;Metal;391
912;Classical;420
913;Folk;511
914;Metal;413
915;Comedy;478
916;Dance;435
917;Vocal;567
918;Anime;64
919;Comedy;486
920;Industrial;101
921;Blues;184
922;Folk;552
923;Classical;502
924;Metal;79
925;Industrial;553
926;Vocal;344
927;Vocal;88
928;Classical;527
929;R&B/Soul;555
930;Jazz;378
931;Dance;354
932;Metal;373
933;Electronic;307
934;Comedy;532
935;Vocal;461
936;Alternative;418
937;Pop;276
938;Classical;137
939;Jazz;191
940;Industrial;400
941;Vocal;465
942;Latin;397
943;Comedy;212
944;Rock;180
945;Industrial;114
946;Electronic;189
947;R&B/Soul;226
948;Pop;351
949;Latin;176
950;Jazz;442
951;Metal;329
952;Jazz;366
953;R&B/Soul;355
954;Latin;243
955;Rock;135
956;Pop;379
957;Classical;312
958;Rock;138
959;R&B/Soul;592
960;Dance;553
961;Country;245
962;Anime;231
963;Rock;272
964;Comedy;131
965;World;136
966;Reggae;213
967;Blues;355
968;Electronic;493
969;Jazz;331
970;Comedy;564
971;Reggae;560
972;Vocal;524
973;Instrumental;567
974;Rock;286
975;Alternative;145
976;World;129
977;Country;443
978;R&B/Soul;362
979;Blues;314
980;Jazz;76
981;Anime;196
982;R&B/Soul;385
983;Rock;190
984;Reggae;192
985;Pop;500
986;Alternative;240
987;Industrial;473
988;Jazz;471
989;Electronic;125
990;Electronic;396
991;Pop;217
992;Pop;569
993;R&B/Soul;490
994;Instrumental;123
995;R&B/Soul;541
996;Latin;332
997;Electronic;363
998;Comedy;444
999;Latin;180
1000;R&B/Soul;460
